method,discover_question_id,scoring_day_et,subset,n_individuals,aggregate_brier,median_individual_brier,mean_individual_brier,aggregate_percentile_rank
geometric_mean_of_odds,194,2018-05-26,ordinal only,14,0.0010859163553969089,0.01405,0.05765150642857143,0.9285714285714286
median,314,2018-06-19,ordinal only,2,1.0376881850000002,1.05457637,1.05457637,1.0
median,316,2018-07-08,ordinal only,10,0.09692429741084493,0.17120000000000002,0.2465601535,0.7
geometric_mean_of_odds,238,2018-07-08,ordinal only,15,0.12284410871727444,0.2888,0.27483618833333334,0.7333333333333333
median,284,2018-06-26,binary only,16,0.008026445000000002,0.008382890000000002,0.43098674375,0.5
geometric_mean_of_odds,326,2018-07-01,binary only,3,0.000029401259117906492,0.0050000000000000044,0.18193333333333336,0.6666666666666666
geometric_mean_of_odds,239,2018-05-27,ordinal only,4,0.6032955233300035,0.25134999999999996,0.40192669,0.25
median,186,2018-04-15,ordinal only,6,0.08322142579565407,0.095825,0.08497511416666666,0.5
geometric_mean_of_odds,202,2018-07-08,binary only,15,1.1675009815674057e-6,0.0002000000000000002,0.012786666666666667,0.6
median,233,2018-05-22,ordinal only,16,0.11916897506925206,0.1496,0.25005916239859644,0.5
median,311,2018-05-19,ordinal only,4,0.7750926673840361,0.70865,0.801852280433939,0.5
median,230,2018-06-26,multi-option nominal only,7,0.4740578782269493,0.65162928,1.0469932885714286,0.8571428571428571
median,258,2018-05-09,binary only,31,2.0000000000000037e-6,2.0000000000000037e-6,0.07516085419354838,0.41935483870967744
median,255,2018-06-15,multi-option nominal only,11,0.12144931195556116,0.24499999999999997,0.4940428890909091,0.5454545454545454
median,177,2018-04-12,ordinal only,10,0.0890977647569444,0.101025,0.15459499999999998,0.6
median,232,2018-06-01,binary only,12,0.06125000000000001,0.0625,0.2979335,0.5
geometric_mean_of_odds,214,2018-04-18,binary only,7,0.035553917625668174,0.019999999999999997,0.08397142857142857,0.42857142857142855
geometric_mean_of_odds,338,2018-06-09,ordinal only,11,0.2624970471044174,0.21125000000000002,0.23871562545454547,0.36363636363636365
median,327,2018-08-25,binary only,13,0.0002000000000000002,0.0002000000000000002,0.0035999830769230775,0.38461538461538464
geometric_mean_of_odds,238,2018-07-07,ordinal only,18,0.33413909713824125,0.21963525337382223,0.2513317648193136,0.3333333333333333
median,214,2018-05-26,binary only,11,0.012799999999999994,0.012799999999999994,0.14835855454545455,0.45454545454545453
median,248,2018-05-12,binary only,10,0.00005000000000000005,0.0001000000000000001,0.001120000000000001,0.5
median,300,2018-05-30,multi-option nominal only,23,0.4698573391386154,0.62,0.8124356713043478,0.5652173913043478
median,282,2018-07-28,binary only,6,0.021798720000000008,0.02183744,0.21561248,0.5
median,211,2018-04-07,binary only,5,0.0050000000000000044,0.0050000000000000044,0.23020000000000002,0.4
median,356,2018-06-21,ordinal only,29,0.00010300825586974152,0.000600000000000001,0.19045337464361137,0.5172413793103449
geometric_mean_of_odds,347,2018-07-07,binary only,7,0.00005069040777740577,0.06351048000000001,0.16609396571428572,0.5714285714285714
median,294,2018-07-29,binary only,1,1.9602,1.9602,1.9602,0.0
geometric_mean_of_odds,285,2018-07-12,binary only,15,0.8378786218950911,0.72,0.7719614666666668,0.3333333333333333
median,232,2018-04-15,binary only,2,0.11520000000000001,0.1184,0.1184,0.5
median,311,2018-06-17,ordinal only,10,0.8221206919296481,0.9237500000000001,0.9154671745,0.5
median,393,2018-09-03,binary only,19,0.0002000000000000002,0.0002000000000000002,0.09013994421052632,0.47368421052631576
median,211,2018-07-25,binary only,11,0.0050000000000000044,0.0050000000000000044,0.012416916363636364,0.18181818181818182
median,317,2018-05-09,multi-option nominal only,47,0.5041551246537396,0.5408000000000001,0.5961000425531915,0.5957446808510638
median,185,2018-03-14,ordinal only,16,0.05761939791760979,0.06902499999999999,0.09949687499999998,0.5625
geometric_mean_of_odds,347,2018-07-16,binary only,10,0.018082087314769724,0.15139999999999998,0.352174402,0.7
geometric_mean_of_odds,267,2018-06-25,binary only,10,0.057700730585234616,0.22250000000000003,0.598290498,0.6
median,211,2018-03-26,binary only,7,0.003200000000000003,0.003200000000000003,0.02988571428571429,0.42857142857142855
median,202,2018-03-24,binary only,4,0.019207999999999996,0.023816000000000004,0.027148245,0.5
median,202,2018-03-29,binary only,5,0.019999999999999997,0.019999999999999997,0.050119999999999984,0.4
median,378,2018-08-04,ordinal only,13,0.28794826490126224,0.31129999999999997,0.3245481592307692,0.6153846153846154
geometric_mean_of_odds,215,2018-09-04,binary only,55,0.00001294460726978202,0.003200000000000003,0.09315433163636365,0.6363636363636364
median,213,2018-04-16,binary only,3,0.0008000000000000008,0.0008000000000000008,0.0019333333333333349,0.3333333333333333
median,384,2018-07-26,ordinal only,403,0.26179930795847756,0.29875,0.3205249812843707,0.5732009925558312
median,322,2018-05-30,binary only,37,0.07999999999999996,0.07999999999999996,0.11157504,0.2972972972972973
median,236,2018-04-21,ordinal only,2,0.253125,0.35125,0.35125,0.5
median,232,2018-07-22,binary only,5,0.125,0.125,0.10744000000000001,0.4
median,267,2018-07-04,binary only,19,0.016199999999999992,0.016199999999999992,0.15630271368421053,0.47368421052631576
median,269,2018-08-14,binary only,6,0.36125,0.4225,0.46660674999999996,0.5
median,281,2018-07-02,multi-option nominal only,4,0.011038469849905214,0.5322,0.7641232950000001,0.5
geometric_mean_of_odds,260,2018-07-14,ordinal only,6,0.08642522859004427,0.4462175625,0.5257217583333333,0.8333333333333334
median,304,2018-05-20,ordinal only,9,0.2438138848589855,0.20249999999999996,0.31273562333333327,0.4444444444444444
median,199,2018-05-04,binary only,34,0.033800000000000004,0.034,0.1759621423529412,0.5
median,284,2018-06-03,binary only,12,0.011249999999999996,0.0125,0.3725,0.5
