subset,n_question_days,share_question_days_gmo_beats_median,median_delta_gmo_minus_median,mean_delta_gmo_minus_median,p90_delta_gmo_minus_median,p95_delta_gmo_minus_median,share_qday_positive_excess_loss_worst_10_questions,share_qday_positive_excess_loss_worst_20_questions,share_qbalanced_positive_excess_loss_worst_10_questions,share_qbalanced_positive_excess_loss_worst_20_questions
all questions,13129,0.6799451595704167,-0.004401230738869396,0.01411257360039314,0.16008228781231804,0.3220825195030266,0.3658447984528875,0.5247529539301656,0.44894456983347153,0.6345165300090913
binary only,6670,0.7532233883058471,-0.004433640365480231,-0.0031419552156533963,0.047913679657291264,0.20601782998925383,0.4743963505574939,0.7163960032567,0.8518483860596654,0.9698443200144172
multi-option nominal only,1157,0.5972342264477096,-0.00866376194522785,0.08425381642259287,0.535599968340665,0.7533949552766552,0.984021003892481,1.0,1.0,1.0
ordinal only,5302,0.6058091286307054,-0.0036340176387138993,0.020512854486425838,0.1819858495217066,0.297994855904835,0.5184279567947202,0.7090691071385377,0.4637618771885487,0.7440621015548726
