cap,max_individual_odds,question_balanced_brier,question_day_weighted_brier
0.005,199.0,0.23024894934290374,0.21282546371713995
0.01,99.0,0.22875685298899873,0.2115398545838909
0.02,49.0,0.22837925516287602,0.21174915913965375
0.05,18.999999999999996,0.23241843042411997,0.21744628642519603
