method,question_balanced_brier,question_day_weighted_brier
median_baseline,0.23539903607253454,0.21979620131733985
original_gmo,0.2503665749520069,0.23390877491773301
capped_gmo_0.02,0.23232654079083598,0.21688085812732527
site_balanced_median,0.23424551580079486,0.22159431869097085
site_balanced_capped_gmo_0.02,0.22837925516287602,0.21174915913965375
