method,mean_brier,standard_error,n_question_days,n_questions,mean_n_forecasters,median_n_forecasters,scoring_scale,weighting
median,0.23539903607253454,0.019283909081868816,13129,189,19.686267042425165,13.0,0-2,question_balanced
trimmed_mean,0.23767934588971024,0.01737079221665072,13129,189,19.686267042425165,13.0,0-2,question_balanced
raw_mean,0.24327963624813453,0.016678492281451743,13129,189,19.686267042425165,13.0,0-2,question_balanced
geometric_mean,0.2491917052699267,0.023502104169511803,13129,189,19.686267042425165,13.0,0-2,question_balanced
geometric_mean_of_odds,0.2503665749520069,0.02270071164730645,13129,189,19.686267042425165,13.0,0-2,question_balanced
