method,subset,n_question_days,mean_percentile_rank,median_percentile_rank,mean_aggregate_brier,mean_median_individual_brier
geometric_mean_of_odds,binary only,6670,0.5903059868882352,0.6170212765957447,0.14378046681807974,0.14981139037631183
median,binary only,6670,0.44658701945038676,0.47368421052631576,0.14692242203373312,0.14981139037631183
geometric_mean_of_odds,multi-option nominal only,1157,0.5553716059345498,0.6,0.5716519535921255,0.536619866260437
median,multi-option nominal only,1157,0.5340424732611567,0.5396825396825397,0.4873981371695326,0.536619866260437
geometric_mean_of_odds,ordinal only,5302,0.5996210589423326,0.631578947368421,0.27358945339725305,0.2839789891385757
median,ordinal only,5302,0.5626336097897624,0.5625,0.25307659891082723,0.2839789891385757
